price,mileage,engineSize,transmission,fuelType,link,imageLink
3999,76773,2.0L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202211121621168?include-delivery-option=on&model=Fiesta&radius=1500&postcode=tq122pu&exclude-writeoff-categories=on&make=Ford&sort=relevance&advertising-location=at_cars&year-to=2006&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&page=4,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/82b86f250e0e47259f5341b2174ba302.jpg
1295,103987,1.4L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212232737536?include-delivery-option=on&model=Fiesta&radius=1500&postcode=tq122pu&exclude-writeoff-categories=on&make=Ford&sort=relevance&advertising-location=at_cars&year-to=2006&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&page=4,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/2a06ed9b778b4652b86d583cbe7ae899.jpg
1395,162547,1.4L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202210190877231?include-delivery-option=on&model=Fiesta&radius=1500&postcode=tq122pu&exclude-writeoff-categories=on&make=Ford&sort=relevance&advertising-location=at_cars&year-to=2006&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&page=4&percentVehiclePriceDeposit=true,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/dac0d0e321fc40119181f1411b61eddb.jpg
2495,43000,1.25L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202211221902426?include-delivery-option=on&model=Fiesta&radius=1500&postcode=tq122pu&exclude-writeoff-categories=on&make=Ford&sort=relevance&advertising-location=at_cars&year-to=2006&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&page=4,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/ad1506bacb544f29b7aa01d8c4308066.jpg
2500,65000,1.4L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202211121616447?include-delivery-option=on&model=Fiesta&radius=1500&postcode=tq122pu&exclude-writeoff-categories=on&make=Ford&sort=relevance&advertising-location=at_cars&year-to=2006&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&page=4,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/0b64b3ebc3174a47a8de0a42c5bcdd92.jpg
1799,97000,1.4L,Manual,Diesel,https://www.autotrader.co.uk/car-details/202212292816616?include-delivery-option=on&model=Fiesta&radius=1500&postcode=tq122pu&exclude-writeoff-categories=on&make=Ford&sort=relevance&advertising-location=at_cars&year-to=2006&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&page=4&journey=PROMOTED_LISTING_JOURNEY,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/1c8c5dbd615d426bad5c84fcdfcc5ce9.jpg
2199,59000,1.25L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202211282098337?advertising-location=at_cars&year-to=2006&make=Ford&radius=1500&include-delivery-option=on&model=Fiesta&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=tq122pu&year-from=2006&exclude-writeoff-categories=on&sort=relevance&page=5,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/a874f3ee3f2c441397a32459637e9bba.jpg
2795,51310,1.4L,Manual,Diesel,https://www.autotrader.co.uk/car-details/202211262026566?advertising-location=at_cars&year-to=2006&make=Ford&radius=1500&include-delivery-option=on&model=Fiesta&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=tq122pu&year-from=2006&exclude-writeoff-categories=on&sort=relevance&page=5,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/0991f37d5eee44fca1e5f3954b1f747b.jpg
2295,59000,1.25L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202207228051690?advertising-location=at_cars&year-to=2006&make=Ford&radius=1500&include-delivery-option=on&model=Fiesta&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=tq122pu&year-from=2006&exclude-writeoff-categories=on&sort=relevance&page=5,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/ce22d9493f9a4c609586467798fa3d05.jpg
3298,50650,1.4L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202209209926046?advertising-location=at_cars&year-to=2006&make=Ford&radius=1500&include-delivery-option=on&model=Fiesta&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=tq122pu&year-from=2006&exclude-writeoff-categories=on&sort=relevance&page=5,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/5c5c2c8819ce4c5a9a738c261482ffc1.jpg
